Ep. num.,ser. num.,ep. num. in ser.,EN name,CZ name,Filename
1,0,1,Prescription: Murder,Vražda na předpis,Columbo - S00E01 - Vražda na předpis
2,0,2,Ransom for a Dead Man,Výkupné za mrtvého,Columbo - S00E02 - Výkupné za mrtvého
3,1,1,Murder by the Book,Vražda podle knihy,Columbo - S01E01 - Vražda podle knihy
4,1,2,Death Lends a Hand,Smrt nabízí pomocnou ruku,Columbo - S01E02 - Smrt nabízí pomocnou ruku
5,1,3,Dead Weight,Semínko pochyb,Columbo - S01E03 - Semínko pochyb
6,1,4,Suitable for Framing,Prázdný rám,Columbo - S01E04 - Prázdný rám
7,1,5,Lady in Waiting,Její příležitost,Columbo - S01E05 - Její příležitost
8,1,6,Short Fuse,Past,Columbo - S01E06 - Past
9,1,7,Blueprint for Murder,Vražda podle plánu,Columbo - S01E07 - Vražda podle plánu
10,2,1,Étude in Black,Etuda v černém,Columbo - S02E01 - Etuda v černém
11,2,2,The Greenhouse Jungle,Džungle ve skleníku,Columbo - S02E02 - Džungle ve skleníku
12,2,3,The Most Crucial Game,Rozhodující zápas,Columbo - S02E03 - Rozhodující zápas
13,2,4,Dagger of the Mind,S dýkou v mysli,Columbo - S02E04 - S dýkou v mysli
14,2,5,Requiem for a Falling Star,Rekviem pro padající hvězdu,Columbo - S02E05 - Rekviem pro padající hvězdu
15,2,6,A Stitch in Crime,Zločinný steh,Columbo - S02E06 - Zločinný steh
16,2,7,The Most Dangerous Match,Nebezpečná hra,Columbo - S02E07 - Nebezpečná hra
17,2,8,Double Shock,Dvojitý šok,Columbo - S02E08 - Dvojitý šok
18,3,1,Lovely But Lethal,Sladká leč smrtící,Columbo - S03E01 - Sladká leč smrtící
19,3,2,Any Old Port in a Storm,To je vražda řeklo portské,Columbo - S03E02 - To je vražda řeklo portské
20,3,3,Candidate for Crime,Kandidát zločinu,Columbo - S03E03 - Kandidát zločinu
21,3,4,Double Exposure,Dvojexpozice,Columbo - S03E04 - Dvojexpozice
22,3,5,Publish or Perish,Vydat nebo zemřít,Columbo - S03E05 - Vydat nebo zemřít
23,3,6,Mind Over Mayhem,Dobrá pověst nadevše,Columbo - S03E06 - Dobrá pověst nadevše
24,3,7,Swan Song,Labutí píseň,Columbo - S03E07 - Labutí píseň
25,3,8,A Friend in Deed,V nouzi poznáš přítele,Columbo - S03E08 - V nouzi poznáš přítele
26,4,1,An Exercise in Fatality,Osudné cvičení,Columbo - S04E01 - Osudné cvičení
27,4,2,Negative Reaction,Obrácený negativ,Columbo - S04E02 - Obrácený negativ
28,4,3,By Dawn's Early Light,Za úsvitu,Columbo - S04E03 - Za úsvitu
29,4,4,Troubled Waters,Rozbouřené vody,Columbo - S04E04 - Rozbouřené vody
30,4,5,Playback,Vražda na videu,Columbo - S04E05 - Vražda na videu
31,4,6,A Deadly State of Mind,Vrah zavolá v deset,Columbo - S04E06 - Vrah zavolá v deset
32,5,1,Forgotten Lady,Zapomenutá dáma,Columbo - S05E01 - Zapomenutá dáma
33,5,2,A Case of Immunity,Případ diplomatické imunity,Columbo - S05E02 - Případ diplomatické imunity
34,5,3,Identity Crisis,Krize identity,Columbo - S05E03 - Krize identity
35,5,4,A Matter of Honor,Smrt v aréně,Columbo - S05E04 - Smrt v aréně
36,5,5,Now You See Him...,Kouzelné alibi,Columbo - S05E05 - Kouzelné alibi
37,5,6,Last Salute to the Commodore,Poslední pocta komodorovi,Columbo - S05E06 - Poslední pocta komodorovi
38,6,1,Fade in to Murder,Posvítit si na vraždu,Columbo - S06E01 - Posvítit si na vraždu
39,6,2,Old Fashioned Murder,Staromódní vražda,Columbo - S06E02 - Staromódní vražda
40,6,3,The Bye-Bye Sky High IQ Murder Case,Případ vysokého IQ,Columbo - S06E03 - Případ vysokého IQ
41,7,1,Try and Catch Me,Zkus mě chytit,Columbo - S07E01 - Zkus mě chytit
42,7,2,Murder Under Glass,Smrt ve sklence vína,Columbo - S07E02 - Smrt ve sklence vína
43,7,3,Make Me a Perfect Murder,Předveď dokonalou vraždu,Columbo - S07E03 - Předveď dokonalou vraždu
44,7,4,How to Dial a Murder,Jak vytočit vraždu,Columbo - S07E04 - Jak vytočit vraždu
45,7,5,The Conspirators,Spiklenci,Columbo - S07E05 - Spiklenci
46,8,1,Columbo Goes to the Guillotine,Columbo jde pod gilotinu,Columbo - S08E01 - Columbo jde pod gilotinu
47,8,2,Murder Smoke and Shadows,Vražda kouř a stíny,Columbo - S08E02 - Vražda kouř a stíny
48,8,3,Sex and the Married Detective,Sex a ženatý detektiv,Columbo - S08E03 - Sex a ženatý detektiv
49,8,4,Grand Deceptions,Velké podvody,Columbo - S08E04 - Velké podvody
50,9,1,Murder: A Self Portrait,Vražda jako autoportrét,Columbo - S09E01 - Vražda jako autoportrét
51,9,2,Columbo Cries Wolf,Planý poplach,Columbo - S09E02 - Planý poplach
52,9,3,Agenda for Murder,Na programu vražda,Columbo - S09E03 - Na programu vražda
53,9,4,Rest in Peace Mrs. Columbo,Odpočívejte v pokoji paní Columbová,Columbo - S09E04 - Odpočívejte v pokoji paní Columbová
54,9,5,Uneasy Lies the Crown,Smrtící korunka,Columbo - S09E05 - Smrtící korunka
55,9,6,Murder in Malibu,Žonglér – Vražda v Malibu,Columbo - S09E06 - Žonglér – Vražda v Malibu
56,10,1,Columbo Goes to College,Columbo na univerzitě,Columbo - S10E01 - Columbo na univerzitě
57,10,2,Caution: Murder Can Be Hazardous to Your Health,Vražda škodí zdraví,Columbo - S10E02 - Vražda škodí zdraví
58,10,3,Columbo and the Murder of a Rock Star,Columbo a vražda rockové hvězdy,Columbo - S10E03 - Columbo a vražda rockové hvězdy
59,10,4,Death Hits the Jackpot,Smrt bere jackpot,Columbo - S10E04 - Smrt bere jackpot
60,10,5,No Time to Die,Není čas na umírání,Columbo - S10E05 - Není čas na umírání
61,10,6,A Bird in the Hand...,Vrabec v hrsti,Columbo - S10E06 - Vrabec v hrsti
62,10,7,It's All in the Game,Ve hře je všechno,Columbo - S10E07 - Ve hře je všechno
63,10,8,Butterfly in Shades of Grey,Motýl v šedých stínech,Columbo - S10E08 - Motýl v šedých stínech
64,10,9,Undercover,Columbo v přestrojení,Columbo - S10E09 - Columbo v přestrojení
65,10,10,Strange Bedfellows,Podivní spojenci,Columbo - S10E10 - Podivní spojenci
66,10,11,A Trace of Murder,Vražedné stopy,Columbo - S10E11 - Vražedné stopy
67,10,12,Ashes to Ashes,Popel popelu,Columbo - S10E12 - Popel popelu
68,10,13,Murder With Too Many Notes,Vražda s příliš mnoha notami,Columbo - S10E13 - Vražda s příliš mnoha notami
69,10,14,Columbo Likes the Nightlife,Columbo má rád noční život,Columbo - S10E14 - Columbo má rád noční život
